order_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total,updated_at
OI00000052,ORD0000027,PROD000007,1,255.16,0.0,255.16,2026-06-16 05:26:23
OI00000053,ORD0000028,PROD000078,1,44.16,0.0,44.16,2026-05-19 02:18:53
OI00000054,ORD0000028,PROD000063,1,61.43,0.0,61.43,2026-05-19 02:18:53
OI00000055,ORD0000029,PROD000037,1,48.34,0.0,48.34,2026-05-10 23:19:47
OI00000056,ORD0000029,PROD000154,2,57.2,5.72,108.68,2026-05-10 23:19:47
OI00000057,ORD0000029,PROD000073,1,9.42,0.0,9.42,2026-05-10 23:19:47
OI00000058,ORD0000030,PROD000057,1,282.26,0.0,282.26,2026-08-01 03:30:41
OI00000059,ORD0000031,PROD000119,1,93.67,0.0,93.67,2026-06-14 05:52:29
OI00000060,ORD0000031,PROD000198,1,307.49,0.0,307.49,2026-06-14 05:52:29
OI00000061,ORD0000031,PROD000115,1,66.23,0.0,66.23,2026-06-14 05:52:29
OI00000062,ORD0000032,PROD000117,2,96.57,0.0,193.14,2026-02-18 12:51:42
OI00000063,ORD0000033,PROD000041,2,287.98,57.6,518.36,2026-07-04 12:20:37
OI00000064,ORD0000033,PROD000093,1,51.13,0.0,51.13,2026-07-04 12:20:37
OI00000065,ORD0000033,PROD000160,1,181.18,27.18,154.0,2026-07-04 12:20:37
OI00000066,ORD0000033,PROD000180,1,443.88,0.0,443.88,2026-07-04 12:20:37
OI00000067,ORD0000034,PROD000156,1,208.16,10.41,197.75,2026-05-10 04:28:40
OI00000068,ORD0000035,PROD000187,1,260.32,0.0,260.32,2026-02-21 22:12:04
OI00000069,ORD0000036,PROD000035,1,197.66,19.77,177.89,2026-02-18 12:20:55
OI00000070,ORD0000036,PROD000152,1,68.44,6.84,61.6,2026-02-18 12:20:55
OI00000071,ORD0000036,PROD000116,1,33.83,1.69,32.14,2026-02-18 12:20:55
OI00000072,ORD0000036,PROD000136,2,248.42,0.0,496.84,2026-02-18 12:20:55
OI00000073,ORD0000036,PROD000018,1,6.39,0.0,6.39,2026-02-18 12:20:55
OI00000074,ORD0000037,PROD000111,2,209.32,0.0,418.64,2026-08-09 09:17:12
OI00000075,ORD0000038,PROD000127,2,216.42,0.0,432.84,2026-06-20 02:29:36
OI00000076,ORD0000038,PROD000097,1,119.02,0.0,119.02,2026-06-20 02:29:36
OI00000077,ORD0000039,PROD000187,2,260.32,0.0,520.64,2026-06-02 18:11:57
OI00000078,ORD0000039,PROD000049,2,343.12,0.0,686.24,2026-06-02 18:11:57
OI00000079,ORD0000040,PROD000114,1,36.68,0.0,36.68,2026-04-26 02:34:18
OI00000080,ORD0000040,PROD000156,2,208.16,0.0,416.32,2026-04-26 02:34:18
OI00000081,ORD0000040,PROD000033,1,240.82,0.0,240.82,2026-04-26 02:34:18
OI00000082,ORD0000040,PROD000103,1,30.32,0.0,30.32,2026-04-26 02:34:18
OI00000083,ORD0000041,PROD000110,1,112.33,11.23,101.1,2026-08-12 13:47:29
OI00000084,ORD0000041,PROD000010,1,238.36,0.0,238.36,2026-08-12 13:47:29
OI00000085,ORD0000041,PROD000003,1,265.29,0.0,265.29,2026-08-12 13:47:29
OI00000086,ORD0000041,PROD000070,1,251.87,0.0,251.87,2026-08-12 13:47:29
OI00000087,ORD0000042,PROD000173,1,269.92,0.0,269.92,2026-03-22 11:52:17
OI00000088,ORD0000042,PROD000027,1,174.59,0.0,174.59,2026-03-22 11:52:17
OI00000089,ORD0000042,PROD000048,2,312.1,0.0,624.2,2026-03-22 11:52:17
OI00000090,ORD0000043,PROD000013,2,286.54,0.0,573.08,2026-05-19 06:13:45
OI00000091,ORD0000043,PROD000181,2,132.65,26.53,238.77,2026-05-19 06:13:45
OI00000092,ORD0000044,PROD000069,1,332.4,0.0,332.4,2026-05-03 21:03:38
OI00000093,ORD0000044,PROD000104,1,219.63,0.0,219.63,2026-05-03 21:03:38
OI00000094,ORD0000044,PROD000067,2,181.48,0.0,362.96,2026-05-03 21:03:38
OI00000095,ORD0000045,PROD000146,1,237.64,0.0,237.64,2026-03-11 17:53:53
OI00000096,ORD0000046,PROD000059,1,368.8,0.0,368.8,2026-04-05 19:13:59
OI00000097,ORD0000047,PROD000079,2,315.96,0.0,631.92,2026-08-02 23:00:24
OI00000098,ORD0000048,PROD000160,4,181.18,0.0,724.72,2026-05-31 01:49:38
OI00000099,ORD0000048,PROD000046,4,353.88,0.0,1415.52,2026-05-31 01:49:38
OI00000100,ORD0000048,PROD000070,2,251.87,100.75,402.99,2026-05-31 01:49:38
OI00000101,ORD0000049,PROD000005,2,219.89,0.0,439.78,2026-05-12 02:40:48
OI00000102,ORD0000050,PROD000033,1,240.82,0.0,240.82,2026-07-27 20:14:32
OI00000103,ORD0000051,PROD000105,1,230.76,0.0,230.76,2026-07-25 00:03:08
OI00000104,ORD0000052,PROD000011,1,74.18,14.84,59.34,2026-07-18 08:47:56
OI00000105,ORD0000053,PROD000014,3,171.48,0.0,514.44,2026-02-22 06:54:46
OI00000106,ORD0000054,PROD000124,2,396.34,0.0,792.68,2026-08-10 19:46:14
OI00000107,ORD0000055,PROD000155,2,67.32,20.2,114.44,2026-04-05 00:40:09
OI00000108,ORD0000056,PROD000048,2,312.1,0.0,624.2,2026-03-07 11:46:29
OI00000109,ORD0000057,PROD000101,1,140.13,0.0,140.13,2026-07-29 00:17:55
OI00000110,ORD0000057,PROD000110,2,112.33,11.23,213.43,2026-07-29 00:17:55
OI00000111,ORD0000057,PROD000105,2,230.76,23.08,438.44,2026-07-29 00:17:55
OI00000112,ORD0000057,PROD000045,1,70.0,0.0,70.0,2026-07-29 00:17:55
OI00000113,ORD0000057,PROD000133,3,7.24,1.09,20.63,2026-07-29 00:17:55
OI00000114,ORD0000058,PROD000086,1,216.37,0.0,216.37,2026-07-17 14:09:35
OI00000115,ORD0000058,PROD000127,1,216.42,0.0,216.42,2026-07-17 14:09:35
OI00000116,ORD0000059,PROD000104,3,219.63,98.83,560.06,2026-04-05 11:58:12
OI00000117,ORD0000059,PROD000139,4,48.21,0.0,192.84,2026-04-05 11:58:12
OI00000118,ORD0000059,PROD000112,1,76.78,0.0,76.78,2026-04-05 11:58:12
OI00000119,ORD0000060,PROD000121,4,311.61,62.32,1184.12,2026-06-01 08:58:07
OI00000120,ORD0000061,PROD000117,1,96.57,9.66,86.91,2026-05-16 15:45:31
OI00000121,ORD0000061,PROD000069,1,332.4,0.0,332.4,2026-05-16 15:45:31
OI00000122,ORD0000061,PROD000068,1,253.43,0.0,253.43,2026-05-16 15:45:31
OI00000123,ORD0000062,PROD000188,1,114.4,5.72,108.68,2026-07-19 22:43:09
OI00000124,ORD0000062,PROD000044,2,137.29,27.46,247.12,2026-07-19 22:43:09
OI00000125,ORD0000063,PROD000070,1,251.87,0.0,251.87,2026-07-16 15:33:58
OI00000126,ORD0000063,PROD000197,3,191.33,0.0,573.99,2026-07-16 15:33:58
OI00000127,ORD0000063,PROD000085,2,36.94,3.69,70.19,2026-07-16 15:33:58
OI00000128,ORD0000064,PROD000057,3,282.26,0.0,846.78,2026-03-10 05:40:36
OI00000129,ORD0000065,PROD000186,2,106.06,0.0,212.12,2026-03-30 05:31:00
OI00000130,ORD0000065,PROD000081,1,267.87,0.0,267.87,2026-03-30 05:31:00
OI00000131,ORD0000066,PROD000049,2,343.12,0.0,686.24,2026-04-02 19:07:28
OI00000132,ORD0000067,PROD000105,1,230.76,0.0,230.76,2026-06-07 15:58:39
OI00000133,ORD0000068,PROD000002,2,68.17,6.82,129.52,2026-04-16 03:31:43
OI00000134,ORD0000069,PROD000135,1,106.79,0.0,106.79,2026-04-12 10:50:00
OI00000135,ORD0000069,PROD000095,1,317.49,0.0,317.49,2026-04-12 10:50:00
OI00000136,ORD0000069,PROD000171,1,118.83,0.0,118.83,2026-04-12 10:50:00
OI00000137,ORD0000069,PROD000119,1,93.67,0.0,93.67,2026-04-12 10:50:00
OI00000138,ORD0000070,PROD000033,3,240.82,0.0,722.46,2026-05-11 23:06:00
OI00000139,ORD0000071,PROD000051,4,128.31,76.99,436.25,2026-04-21 01:28:39
OI00000140,ORD0000071,PROD000001,2,240.76,0.0,481.52,2026-04-21 01:28:39
OI00000141,ORD0000072,PROD000021,3,325.45,146.45,829.9,2026-05-11 08:28:14
OI00000142,ORD0000072,PROD000098,1,188.42,0.0,188.42,2026-05-11 08:28:14
OI00000143,ORD0000072,PROD000119,2,93.67,0.0,187.34,2026-05-11 08:28:14
OI00000144,ORD0000073,PROD000143,1,293.11,0.0,293.11,2026-07-22 05:45:09
OI00000145,ORD0000073,PROD000009,2,247.91,99.16,396.66,2026-07-22 05:45:09
OI00000146,ORD0000073,PROD000034,4,376.06,0.0,1504.24,2026-07-22 05:45:09
OI00000147,ORD0000074,PROD000187,2,260.32,0.0,520.64,2026-03-16 22:42:34
OI00000148,ORD0000075,PROD000189,1,184.49,0.0,184.49,2026-03-29 00:57:24
OI00000149,ORD0000075,PROD000135,1,106.79,0.0,106.79,2026-03-29 00:57:24
OI00000150,ORD0000075,PROD000190,1,270.32,0.0,270.32,2026-03-29 00:57:24
OI00000151,ORD0000076,PROD000106,4,13.25,0.0,53.0,2026-07-13 15:59:38
OI00000152,ORD0000076,PROD000186,1,106.06,0.0,106.06,2026-07-13 15:59:38
OI00000153,ORD0000076,PROD000183,1,239.94,0.0,239.94,2026-07-13 15:59:38
OI00000154,ORD0000076,PROD000158,1,391.88,0.0,391.88,2026-07-13 15:59:38
OI00000155,ORD0000077,PROD000001,1,240.76,0.0,240.76,2026-03-17 09:23:08
OI00000156,ORD0000077,PROD000088,2,381.45,152.58,610.32,2026-03-17 09:23:08
OI00000157,ORD0000078,PROD000168,1,433.94,0.0,433.94,2026-05-19 12:43:59
OI00000158,ORD0000078,PROD000061,1,85.11,0.0,85.11,2026-05-19 12:43:59
OI00000159,ORD0000078,PROD000029,3,12.47,1.87,35.54,2026-05-19 12:43:59
OI00000160,ORD0000079,PROD000142,4,276.94,0.0,1107.76,2026-06-10 14:38:18
OI00000161,ORD0000080,PROD000105,1,230.76,0.0,230.76,2026-07-13 06:40:53
OI00000162,ORD0000080,PROD000016,2,373.26,111.98,634.54,2026-07-13 06:40:53
OI00000163,ORD0000080,PROD000094,1,170.67,0.0,170.67,2026-07-13 06:40:53
OI00000164,ORD0000081,PROD000155,1,67.32,0.0,67.32,2026-04-02 11:31:46
OI00000165,ORD0000081,PROD000109,1,87.72,0.0,87.72,2026-04-02 11:31:46
OI00000166,ORD0000081,PROD000095,2,317.49,0.0,634.98,2026-04-02 11:31:46
OI00000167,ORD0000081,PROD000117,3,96.57,0.0,289.71,2026-04-02 11:31:46
OI00000168,ORD0000081,PROD000193,1,322.33,0.0,322.33,2026-04-02 11:31:46
OI00000169,ORD0000082,PROD000162,2,85.74,0.0,171.48,2026-07-14 11:51:03
OI00000170,ORD0000082,PROD000037,1,48.34,0.0,48.34,2026-07-14 11:51:03
OI00000171,ORD0000082,PROD000124,2,396.34,0.0,792.68,2026-07-14 11:51:03
OI00000172,ORD0000083,PROD000119,1,93.67,0.0,93.67,2026-07-12 03:43:50
OI00000173,ORD0000083,PROD000193,3,322.33,0.0,966.99,2026-07-12 03:43:50
OI00000174,ORD0000083,PROD000046,1,353.88,0.0,353.88,2026-07-12 03:43:50
OI00000175,ORD0000083,PROD000015,1,74.75,0.0,74.75,2026-07-12 03:43:50
OI00000176,ORD0000083,PROD000026,2,165.8,0.0,331.6,2026-07-12 03:43:50
OI00000177,ORD0000084,PROD000190,2,270.32,54.06,486.58,2026-05-27 13:19:44
OI00000178,ORD0000084,PROD000187,2,260.32,0.0,520.64,2026-05-27 13:19:44
OI00000179,ORD0000084,PROD000023,2,69.84,0.0,139.68,2026-05-27 13:19:44
OI00000180,ORD0000085,PROD000161,4,310.12,0.0,1240.48,2026-03-10 02:31:41
OI00000181,ORD0000086,PROD000034,1,376.06,0.0,376.06,2026-03-13 09:37:11
OI00000182,ORD0000087,PROD000152,1,68.44,0.0,68.44,2026-07-01 12:25:52
OI00000183,ORD0000087,PROD000150,1,121.83,0.0,121.83,2026-07-01 12:25:52
OI00000184,ORD0000088,PROD000197,1,191.33,0.0,191.33,2026-03-18 11:48:13
OI00000185,ORD0000088,PROD000049,1,343.12,0.0,343.12,2026-03-18 11:48:13
OI00000186,ORD0000088,PROD000002,2,68.17,0.0,136.34,2026-03-18 11:48:13
OI00000187,ORD0000088,PROD000157,1,230.53,11.53,219.0,2026-03-18 11:48:13
OI00000188,ORD0000089,PROD000012,3,374.67,0.0,1124.01,2026-06-25 18:23:34
OI00000189,ORD0000090,PROD000099,1,244.63,0.0,244.63,2026-08-04 06:28:08
OI00000190,ORD0000090,PROD000173,1,269.92,13.5,256.42,2026-08-04 06:28:08
OI00000191,ORD0000091,PROD000060,1,313.56,0.0,313.56,2026-04-04 13:19:54
OI00000192,ORD0000091,PROD000168,2,433.94,0.0,867.88,2026-04-04 13:19:54
OI00000193,ORD0000092,PROD000193,1,322.33,0.0,322.33,2026-05-25 04:57:10
OI00000194,ORD0000092,PROD000117,2,96.57,38.63,154.51,2026-05-25 04:57:10
OI00000195,ORD0000092,PROD000197,2,191.33,0.0,382.66,2026-05-25 04:57:10
OI00000196,ORD0000092,PROD000038,1,84.38,0.0,84.38,2026-05-25 04:57:10
OI00000197,ORD0000093,PROD000171,1,118.83,0.0,118.83,2026-07-20 02:26:52
OI00000198,ORD0000093,PROD000069,1,332.4,0.0,332.4,2026-07-20 02:26:52
OI00000199,ORD0000094,PROD000062,1,129.94,19.49,110.45,2026-07-28 19:23:58
OI00000200,ORD0000094,PROD000078,1,44.16,0.0,44.16,2026-07-28 19:23:58
OI00000201,ORD0000094,PROD000003,3,265.29,0.0,795.87,2026-07-28 19:23:58
OI00000202,ORD0000094,PROD000027,2,174.59,0.0,349.18,2026-07-28 19:23:58
OI00000203,ORD0000095,PROD000027,3,174.59,0.0,523.77,2026-06-20 21:33:22
OI00000204,ORD0000096,PROD000112,1,76.78,0.0,76.78,2026-05-27 06:22:51
OI00000205,ORD0000096,PROD000136,2,248.42,0.0,496.84,2026-05-27 06:22:51
OI00000206,ORD0000097,PROD000069,1,332.4,0.0,332.4,2026-03-22 20:36:47
OI00000207,ORD0000097,PROD000193,1,322.33,0.0,322.33,2026-03-22 20:36:47
OI00000208,ORD0000097,PROD000173,1,269.92,0.0,269.92,2026-03-22 20:36:47
OI00000209,ORD0000098,PROD000023,1,69.84,0.0,69.84,2026-06-29 00:56:59
OI00000210,ORD0000098,PROD000086,1,216.37,0.0,216.37,2026-06-29 00:56:59
OI00000211,ORD0000099,PROD000003,3,265.29,0.0,795.87,2026-03-10 22:36:03
OI00000212,ORD0000099,PROD000117,1,96.57,0.0,96.57,2026-03-10 22:36:03
OI00000213,ORD0000099,PROD000193,2,322.33,0.0,644.66,2026-03-10 22:36:03
OI00000214,ORD0000099,PROD000144,1,398.95,0.0,398.95,2026-03-10 22:36:03
OI00000215,ORD0000100,PROD000188,2,114.4,34.32,194.48,2026-02-17 15:27:44
OI00000216,ORD0000100,PROD000150,2,121.83,24.37,219.29,2026-02-17 15:27:44
OI00000217,ORD0000100,PROD000195,1,397.59,0.0,397.59,2026-02-17 15:27:44
OI00000218,ORD0000100,PROD000173,1,269.92,13.5,256.42,2026-02-17 15:27:44
OI00000219,ORD0000100,PROD000011,1,74.18,11.13,63.05,2026-02-17 15:27:44
OI00000220,ORD0000101,PROD000032,1,305.5,0.0,305.5,2026-05-23 17:23:07
OI00000221,ORD0000101,PROD000082,2,49.54,0.0,99.08,2026-05-23 17:23:07
OI00000222,ORD0000101,PROD000084,1,172.79,0.0,172.79,2026-05-23 17:23:07
OI00000223,ORD0000101,PROD000137,3,16.14,0.0,48.42,2026-05-23 17:23:07
OI00000224,ORD0000102,PROD000093,1,51.13,0.0,51.13,2026-06-14 14:54:31
OI00000225,ORD0000102,PROD000084,3,172.79,0.0,518.37,2026-06-14 14:54:31
OI00000226,ORD0000103,PROD000114,1,36.68,0.0,36.68,2026-03-14 09:31:12
OI00000227,ORD0000103,PROD000033,1,240.82,0.0,240.82,2026-03-14 09:31:12
OI00000228,ORD0000103,PROD000138,1,154.12,0.0,154.12,2026-03-14 09:31:12
OI00000229,ORD0000103,PROD000002,1,68.17,3.41,64.76,2026-03-14 09:31:12
OI00000230,ORD0000104,PROD000053,1,381.96,0.0,381.96,2026-08-03 18:28:10
OI00000231,ORD0000105,PROD000189,1,184.49,0.0,184.49,2026-06-02 15:21:57
OI00000232,ORD0000105,PROD000075,2,10.1,0.0,20.2,2026-06-02 15:21:57
OI00000233,ORD0000105,PROD000032,2,305.5,30.55,580.45,2026-06-02 15:21:57
OI00000234,ORD0000105,PROD000116,1,33.83,0.0,33.83,2026-06-02 15:21:57
OI00000235,ORD0000106,PROD000004,2,71.87,0.0,143.74,2026-03-20 01:06:50
OI00000236,ORD0000107,PROD000022,2,302.51,0.0,605.02,2026-06-06 06:47:00
OI00000237,ORD0000108,PROD000069,2,332.4,33.24,631.56,2026-06-25 00:15:17
OI00000238,ORD0000108,PROD000189,2,184.49,0.0,368.98,2026-06-25 00:15:17
OI00000239,ORD0000108,PROD000119,1,93.67,18.73,74.94,2026-06-25 00:15:17
OI00000240,ORD0000108,PROD000053,1,381.96,0.0,381.96,2026-06-25 00:15:17
OI00000241,ORD0000108,PROD000135,1,106.79,0.0,106.79,2026-06-25 00:15:17
OI00000242,ORD0000109,PROD000106,2,13.25,5.3,21.2,2026-04-05 11:27:01
OI00000243,ORD0000109,PROD000113,1,295.97,0.0,295.97,2026-04-05 11:27:01
OI00000244,ORD0000109,PROD000149,1,259.04,0.0,259.04,2026-04-05 11:27:01
OI00000245,ORD0000109,PROD000086,1,216.37,0.0,216.37,2026-04-05 11:27:01
OI00000246,ORD0000110,PROD000014,2,171.48,0.0,342.96,2026-05-15 01:26:15
OI00000247,ORD0000111,PROD000085,1,36.94,0.0,36.94,2026-04-28 01:06:27
OI00000248,ORD0000111,PROD000030,1,113.9,11.39,102.51,2026-04-28 01:06:27
OI00000249,ORD0000112,PROD000057,1,282.26,0.0,282.26,2026-05-19 18:49:37
OI00000250,ORD0000112,PROD000164,2,179.02,0.0,358.04,2026-05-19 18:49:37
OI00000251,ORD0000112,PROD000107,1,128.32,19.25,109.07,2026-05-19 18:49:37
OI00000252,ORD0000113,PROD000085,4,36.94,0.0,147.76,2026-04-03 20:45:28
OI00000253,ORD0000113,PROD000135,2,106.79,0.0,213.58,2026-04-03 20:45:28
OI00000254,ORD0000114,PROD000125,1,169.29,0.0,169.29,2026-07-07 18:16:57
OI00000255,ORD0000114,PROD000180,3,443.88,0.0,1331.64,2026-07-07 18:16:57
OI00000256,ORD0000114,PROD000032,1,305.5,0.0,305.5,2026-07-07 18:16:57
OI00000257,ORD0000114,PROD000121,2,311.61,0.0,623.22,2026-07-07 18:16:57
OI00000258,ORD0000115,PROD000146,1,237.64,0.0,237.64,2026-03-03 22:44:12
OI00000259,ORD0000115,PROD000020,1,59.38,0.0,59.38,2026-03-03 22:44:12
OI00000260,ORD0000115,PROD000045,2,70.0,0.0,140.0,2026-03-03 22:44:12
OI00000261,ORD0000116,PROD000149,1,259.04,0.0,259.04,2026-07-13 04:37:44
OI00000262,ORD0000116,PROD000073,2,9.42,0.0,18.84,2026-07-13 04:37:44
OI00000263,ORD0000117,PROD000077,4,172.06,0.0,688.24,2026-02-26 10:15:18
OI00000264,ORD0000117,PROD000014,1,171.48,0.0,171.48,2026-02-26 10:15:18
OI00000265,ORD0000117,PROD000183,2,239.94,95.98,383.9,2026-02-26 10:15:18
OI00000266,ORD0000117,PROD000069,1,332.4,49.86,282.54,2026-02-26 10:15:18
OI00000267,ORD0000118,PROD000179,1,100.96,20.19,80.77,2026-04-24 08:08:26
OI00000268,ORD0000118,PROD000003,1,265.29,53.06,212.23,2026-04-24 08:08:26
OI00000269,ORD0000118,PROD000100,2,125.62,12.56,238.68,2026-04-24 08:08:26
OI00000270,ORD0000118,PROD000061,1,85.11,0.0,85.11,2026-04-24 08:08:26
OI00000271,ORD0000118,PROD000079,1,315.96,0.0,315.96,2026-04-24 08:08:26
OI00000272,ORD0000119,PROD000056,1,23.5,1.18,22.32,2026-07-29 01:35:13
OI00000273,ORD0000120,PROD000136,1,248.42,0.0,248.42,2026-03-27 22:14:46
OI00000274,ORD0000121,PROD000048,2,312.1,0.0,624.2,2026-04-05 05:31:46
OI00000275,ORD0000122,PROD000037,1,48.34,0.0,48.34,2026-03-24 12:27:15
OI00000276,ORD0000122,PROD000004,1,71.87,0.0,71.87,2026-03-24 12:27:15
OI00000277,ORD0000122,PROD000171,2,118.83,35.65,202.01,2026-03-24 12:27:15
OI00000278,ORD0000123,PROD000029,1,12.47,0.62,11.85,2026-03-07 13:09:40
OI00000279,ORD0000123,PROD000153,3,46.39,6.96,132.21,2026-03-07 13:09:40
OI00000280,ORD0000123,PROD000095,1,317.49,0.0,317.49,2026-03-07 13:09:40
OI00000281,ORD0000123,PROD000022,1,302.51,0.0,302.51,2026-03-07 13:09:40
OI00000282,ORD0000123,PROD000055,1,324.24,0.0,324.24,2026-03-07 13:09:40
OI00000283,ORD0000124,PROD000062,1,129.94,0.0,129.94,2026-03-14 21:18:06
OI00000284,ORD0000125,PROD000030,1,113.9,17.09,96.81,2026-08-02 13:14:58
OI00000285,ORD0000125,PROD000062,1,129.94,0.0,129.94,2026-08-02 13:14:58
OI00000286,ORD0000126,PROD000049,2,343.12,0.0,686.24,2026-03-09 14:38:09
OI00000287,ORD0000127,PROD000188,2,114.4,22.88,205.92,2026-05-03 06:52:18
OI00000288,ORD0000127,PROD000103,4,30.32,6.06,115.22,2026-05-03 06:52:18
OI00000289,ORD0000127,PROD000074,1,260.67,0.0,260.67,2026-05-03 06:52:18
OI00000290,ORD0000127,PROD000020,1,59.38,2.97,56.41,2026-05-03 06:52:18
OI00000291,ORD0000128,PROD000034,1,376.06,0.0,376.06,2026-03-04 20:36:27
OI00000292,ORD0000129,PROD000186,1,106.06,0.0,106.06,2026-06-04 09:44:26
OI00000293,ORD0000129,PROD000068,1,253.43,0.0,253.43,2026-06-04 09:44:26
OI00000294,ORD0000129,PROD000107,2,128.32,0.0,256.64,2026-06-04 09:44:26
OI00000295,ORD0000130,PROD000001,1,240.76,24.08,216.68,2026-06-02 20:36:49
OI00000296,ORD0000131,PROD000037,1,48.34,4.83,43.51,2026-06-17 06:58:07
OI00000297,ORD0000131,PROD000083,4,119.55,47.82,430.38,2026-06-17 06:58:07
OI00000298,ORD0000131,PROD000129,1,280.22,14.01,266.21,2026-06-17 06:58:07
OI00000299,ORD0000132,PROD000117,2,96.57,0.0,193.14,2026-03-23 09:44:45
OI00000300,ORD0000132,PROD000104,1,219.63,10.98,208.65,2026-03-23 09:44:45
OI00000301,ORD0000132,PROD000014,3,171.48,0.0,514.44,2026-03-23 09:44:45
OI00000302,ORD0000133,PROD000133,2,7.24,0.0,14.48,2026-03-08 16:04:00
